CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,y,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TOTAL_TRADES,ds,VWAP
11.8,11.72,11.72,11.74,11.73,11.72,35409191,416528449.73,102037,2025-11-03,11.76
12.03,11.64,12.03,11.69,11.7,11.74,27767027,324400273.5,65531,2025-11-04,11.68
11.97,10.57,11.69,11.71,11.73,11.69,31088593,363593004.19,76377,2025-11-06,11.7
11.99,11.66,11.71,11.71,11.72,11.71,20464106,239613719.25,56930,2025-11-07,11.71
12.0,11.41,12.0,11.9,11.91,11.71,30728118,364872884.26,85353,2025-11-10,11.87
12.39,11.6,11.6,12.1,12.1,11.9,42006141,508385602.53,80873,2025-11-11,12.1
12.1,11.99,12.1,12.05,12.05,12.1,35877862,431789702.18,70135,2025-11-12,12.03
12.4,12.2,12.2,12.33,12.34,12.05,46379121,570301987.47,79996,2025-11-13,12.3
12.33,12.13,12.33,12.18,12.2,12.33,45263762,552930289.54,73019,2025-11-14,12.22
12.18,11.86,12.18,11.96,11.97,12.18,54301501,648579276.24,103228,2025-11-17,11.94
11.96,11.75,11.96,11.83,11.84,11.96,36551766,431108492.79,71669,2025-11-18,11.79
12.05,11.85,11.85,11.98,11.99,11.83,32077734,383800552.12,60212,2025-11-19,11.96
11.98,11.86,11.96,11.9,11.91,11.98,27631345,329372141.25,56526,2025-11-20,11.92
12.19,11.75,12.19,11.95,11.97,11.9,25176473,299391302.89,51878,2025-11-21,11.89
12.05,11.92,11.96,11.97,11.98,11.95,23234726,277722843.28,70567,2025-11-24,11.95
12.28,12.03,12.03,12.12,12.14,11.97,32334727,392561794.23,53388,2025-11-25,12.14
12.24,12.16,12.16,12.22,12.23,12.12,27316014,333769641.57,52700,2025-11-26,12.22
12.52,11.79,11.91,12.21,12.22,12.22,25438657,310780128.04,51462,2025-11-27,12.22
12.51,11.9,12.35,12.24,12.25,12.21,25408366,311670004.43,56196,2025-11-28,12.27
12.66,12.36,12.49,12.49,12.5,12.24,50598468,630478916.23,101389,2025-12-01,12.46
13.05,12.37,12.49,12.39,12.4,12.49,45682012,569284467.65,73088,2025-12-02,12.46
12.54,12.42,12.42,12.47,12.49,12.39,32008299,400014311.97,66070,2025-12-03,12.5
12.55,12.4,12.52,12.42,12.44,12.47,33352596,415573803.79,62204,2025-12-04,12.46
12.73,12.42,12.5,12.51,12.53,12.42,33261369,415732793.91,62499,2025-12-05,12.5
12.54,12.44,12.5,12.51,12.52,12.51,32812473,410826566.55,91419,2025-12-08,12.52
12.7,12.39,12.51,12.47,12.46,12.51,37461241,466133645.92,63780,2025-12-09,12.44
12.78,12.15,12.78,12.46,12.47,12.47,33967781,424302940.56,61378,2025-12-10,12.49
11.08,10.72,10.72,10.91,10.92,10.71,31144285,338161684.68,74455,2025-09-22,10.86
11.25,10.63,10.63,11.18,11.24,10.91,54082248,599348762.83,88894,2025-09-23,11.08
11.55,10.9,10.9,11.11,11.12,11.18,56667402,631100125.8,82234,2025-09-24,11.14
11.4,10.83,11.11,11.07,11.1,11.11,31688898,349830115.54,59485,2025-09-25,11.04
